商户ID,商户代码,终端号,商户名,省份,市,区,纬度,经度,用户地址,商圈信息
677708,102701073990802,01080209,,贵州省,贵阳市,南明区,26.580661,106.71303300000001,贵州省贵阳市南明区瑞金中路32,待定
677709,QRC485070000716,01080209,,贵州省,贵阳市,南明区,26.573727,106.715503,贵州省贵阳市南明区瑞金南路131号,待定
677710,102701056910022,01080209,,贵州省,贵阳市,南明区,26.580336,106.71270200000001,贵州省贵阳市南明区都司路99,待定
677711,102701050391986,01080209,,贵州省,贵阳市,南明区,26.580371999999997,106.712898,贵州省贵阳市南明区都司路95,待定
677712,102701079910090,01080209,,贵州省,贵阳市,南明区,26.580561,106.71303600000002,贵州省贵阳市南明区瑞金南路32-3,待定
677713,QRC485070000027,01080209,,贵州省,贵阳市,南明区,26.57397000000001,106.71561399999999,贵州省贵阳市南明区瑞金南路131号,待定
677714,QRC482200007069,01080209,,贵州省,贵阳市,南明区,26.561829,106.674903,贵州省贵阳市南明区小车河路,待定
677715,QRC480252095246,01080209,,贵州省,贵阳市,南明区,26.553566999999997,106.670323,贵州省贵阳市南明区,待定
677716,105000241218439,10010918,,贵州省,贵阳市,南明区,26.571817,106.720688,贵州省贵阳市南明区兴关路5-3,待定
677717,105000141219931,10006913,,贵州省,贵阳市,南明区,26.565265999999998,106.713629,贵州省贵阳市南明区解放路94-8号,待定
677718,102701072770097,01080209,,贵州省,贵阳市,南明区,26.580694,106.71295900000001,贵州省贵阳市南明区瑞金中路32,待定
677719,105000358124105,10009676,,贵州省,贵阳市,云岩区,26.583721,106.74056399999999,贵州省贵阳市云岩区晒田坝路154号,待定
677720,QRC482200007346,01080209,,贵州省,贵阳市,南明区,26.579514,106.730934,贵州省贵阳市南明区都司高架桥路,待定
677721,105910200135428,00077562,,贵州省,贵阳市,南明区,26.553240999999996,106.670258,贵州省贵阳市南明区,待定
677722,102701070130476,01080209,,贵州省,贵阳市,南明区,26.580154999999998,106.71271100000001,贵州省贵阳市南明区都司路99,待定
677723,QRC480252056894,00033983,,贵州省,贵阳市,南明区,26.563887,106.696877,贵州省贵阳市南明区中环路南段,待定
